"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43204-80805","PG","Markelle","Markelle Fultz","Fultz","25.359574987533243","47","5500","MIA@ORL","ORL","MIA","","","","",""
"43204-20992","PF","Larry","Larry Nance","Nance","23.332499694824218","40","5400","GS@CLE","CLE","GS","","","","",""
"43204-23572","SF","Taurean","Taurean Prince","Prince","25.47021224650931","47","5400","BKN@WAS","BKN","WAS","","","","",""
"43204-84709","C","Mitchell","Mitchell Robinson","Robinson","25.928889973958334","45","5400","NY@IND","NY","IND","","","","",""
"43204-14543","PF","Davis","Davis Bertans","Bertans","26.152631257709704","38","5300","BKN@WAS","WAS","BKN","","","","",""
"43204-16233","SG","Josh","Josh Richardson","Richardson","26.644736842105264","38","5300","PHI@BOS","PHI","BOS","O","Hamstring","","",""
"43204-23447","PF","Richaun","Richaun Holmes","Holmes","30.900001319679053","37","5300","LAL@SAC","SAC","LAL","O","Shoulder","","",""
"43204-23096","SG","Evan","Evan Fournier","Fournier","28.70212765957447","47","5200","MIA@ORL","ORL","MIA","","","","",""
"43204-58253","C","Myles","Myles Turner","Turner","27.78421181126645","38","5200","NY@IND","IND","NY","","","","",""
"43204-9673","PG","Goran","Goran Dragic","Dragic","26.686111450195312","36","5200","MIA@ORL","MIA","ORL","","","","",""
"43204-81529","PF","Daniel","Daniel Theis","Theis","23.627906976744185","43","5100","PHI@BOS","BOS","PHI","","","","",""
"43204-101329","PG","Kendrick","Kendrick Nunn","Nunn","26.33636474609375","44","5100","MIA@ORL","MIA","ORL","GTD","Achilles","","",""
"43204-84668","SF","Troy","Troy Brown","Brown","23.96590909090909","44","5000","BKN@WAS","WAS","BKN","","","","",""
"43204-84690","PG","Jalen","Jalen Brunson","Brunson","15.574999491373697","48","5000","ATL@DAL","DAL","ATL","","","","",""
"43204-12511","PG","Ish","Ish Smith","Smith","23.887233003656913","47","5000","BKN@WAS","WAS","BKN","","","","",""
"43204-67312","C","Thomas","Thomas Bryant","Bryant","27.11481391059028","27","5000","BKN@WAS","WAS","BKN","","","","",""
"43204-110352","PF","P.J.","P.J. Washington","Washington","25.325581395348838","43","5000","CHA@SA","CHA","SA","GTD","Ankle","","",""
"43204-58378","C","Jakob","Jakob Poeltl","Poeltl","20.168085625831118","47","4900","CHA@SA","SA","CHA","","","","",""
"43204-67707","C","Marquese","Marquese Chriss","Chriss","19.988636363636363","44","4900","GS@CLE","GS","CLE","","","","",""
"43204-67708","PG","Dejounte","Dejounte Murray","Murray","26.455813385719477","43","4900","CHA@SA","SA","CHA","","","","",""
"43204-14501","C","Tristan","Tristan Thompson","Thompson","30.27872288480718","47","4900","GS@CLE","CLE","GS","","","","",""
"43204-15846","SF","Tim","Tim Hardaway","Hardaway","21.308889431423612","45","4900","ATL@DAL","DAL","ATL","","","","",""
"43204-84678","SF","Miles","Miles Bridges","Bridges","23.68541717529297","48","4800","CHA@SA","CHA","SA","","","","",""
"43204-15583","PG","Seth","Seth Curry","Curry","17.07173886506454","46","4800","ATL@DAL","DAL","ATL","","","","",""
"43204-110338","SF","De'Andre","De'Andre Hunter","Hunter","20.6875","48","4800","ATL@DAL","ATL","DAL","GTD","Ankle","","",""
"43204-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","24.997297957136823","37","4800","LAL@SAC","SAC","LAL","","","","",""
"43204-110357","SG","RJ","RJ Barrett","Barrett","26.20731707317073","41","4800","NY@IND","NY","IND","O","Ankle","","",""
"43204-9538","SF","Trevor","Trevor Ariza","Ariza","18.069444444444443","36","4800","UTA@POR","POR","UTA","","","","",""
"43204-9561","C","DeAndre","DeAndre Jordan","Jordan","25.043590056590546","39","4800","BKN@WAS","BKN","WAS","","","","",""
"43204-40830","SG","Delon","Delon Wright","Wright","20.480434251868207","46","4800","ATL@DAL","DAL","ATL","","","","",""
"43204-14510","SF","Alec","Alec Burks","Burks","28.869565217391305","46","4700","GS@CLE","GS","CLE","","","","",""
"43204-59318","SF","Joe","Joe Ingles","Ingles","24.34583282470703","48","4700","UTA@POR","UTA","POR","","","","",""
"43204-9660","C","Dwight","Dwight Howard","Howard","22.21276595744681","47","4700","LAL@SAC","LAL","SAC","","","","",""
"43204-63126","SF","Cedi","Cedi Osman","Osman","20.61632677973533","49","4600","GS@CLE","CLE","GS","","","","",""
"43204-84704","SG","Kevin","Kevin Huerter","Huerter","23.8973677785773","38","4600","ATL@DAL","ATL","DAL","","","","",""
"43204-15691","C","Cody","Cody Zeller","Zeller","23.433333333333334","45","4600","CHA@SA","CHA","SA","","","","",""
"43204-16405","SG","Terrence","Terrence Ross","Ross","21.708695121433426","46","4500","MIA@ORL","ORL","MIA","","","","",""
"43204-20640","SG","Jordan","Jordan Clarkson","Clarkson","22.344679812167552","47","4500","UTA@POR","UTA","POR","","","","",""
"43204-110342","PG","Darius","Darius Garland","Garland","19.724999745686848","48","4500","GS@CLE","CLE","GS","","","","",""
"43204-16230","SG","Jordan","Jordan McRae","McRae","23.510344406654095","29","4500","BKN@WAS","WAS","BKN","O","Ankle","","",""
"43204-16376","SF","Dorian","Dorian Finney-Smith","Finney-Smith","20.379166920979817","48","4500","ATL@DAL","DAL","ATL","","","","",""
"43204-9739","C","JaVale","JaVale McGee","McGee","21.242222764756946","45","4400","LAL@SAC","LAL","SAC","","","","",""
"43204-22541","C","Kelly","Kelly Olynyk","Olynyk","17.05714343843006","42","4400","MIA@ORL","MIA","ORL","","","","",""
"43204-9466","PG","D.J.","D.J. Augustin","Augustin","21.46153846153846","39","4400","MIA@ORL","ORL","MIA","O","Knee","","",""
"43204-110349","PF","Rui","Rui Hachimura","Hachimura","25","25","4400","BKN@WAS","WAS","BKN","GTD","Groin","","",""
"43204-16363","SF","Joe","Joe Harris","Harris","22.91521686056386","46","4400","BKN@WAS","BKN","WAS","","","","",""
"43204-85137","SG","Duncan","Duncan Robinson","Robinson","19.42127633602061","47","4300","MIA@ORL","MIA","ORL","","","","",""
"43204-14516","C","Enes","Enes Kanter","Kanter","23.799999660915798","36","4300","PHI@BOS","BOS","PHI","O","Hip","","",""
"43204-15559","SG","Jeremy","Jeremy Lamb","Lamb","26.02162129170186","37","4300","NY@IND","IND","NY","","","","",""
"43204-84691","PG","Shake","Shake Milton","Milton","10.737500190734863","16","4300","PHI@BOS","PHI","BOS","","","","",""
"43204-16604","SF","Justin","Justin Holiday","Holiday","18.9812494913737","48","4300","NY@IND","IND","NY","","","","",""
"43204-14559","PG","Isaiah","Isaiah Thomas","Thomas","19.38157894736842","38","4300","BKN@WAS","WAS","BKN","","","","",""
"43204-9953","C","Ian","Ian Mahinmi","Mahinmi","22.666666666666668","27","4300","BKN@WAS","WAS","BKN","","","","",""
"43204-58084","SF","Justise","Justise Winslow","Winslow","26.327273282137785","11","4300","MIA@ORL","MIA","ORL","O","Back","","",""
"43204-84719","PG","Aaron","Aaron Holiday","Holiday","19.975556098090276","45","4300","NY@IND","IND","NY","","","","",""
"43204-110339","SF","Cam","Cam Reddish","Reddish","19.057777235243055","45","4300","ATL@DAL","ATL","DAL","","","","",""
"43204-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","23.216278785882995","43","4300","ATL@DAL","DAL","ATL","","","","",""
"43204-58377","PF","Kyle","Kyle Kuzma","Kuzma","20.155263800370065","38","4200","LAL@SAC","LAL","SAC","","","","",""
"43204-110312","SG","Tyler","Tyler Herro","Herro","22.01363580877131","44","4200","MIA@ORL","MIA","ORL","","","","",""
"43204-23800","SF","Glenn","Glenn Robinson","Robinson","23.202174974524457","46","4200","GS@CLE","GS","CLE","","","","",""
"43204-18376","SG","Damion","Damion Lee","Lee","23.02121249112216","33","4200","GS@CLE","GS","CLE","","","","",""
"43204-18393","PG","T.J.","T.J. McConnell","McConnell","19.360869034476902","46","4200","NY@IND","IND","NY","","","","",""
"43204-49675","PG","Derrick","Derrick White","White","21.531111653645834","45","4100","CHA@SA","SA","CHA","","","","",""
